# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
10000                   	bottom	5.6641739279728298e-01	5.6641749693192600e-01	5.6641744245692205e-01
10000                   	top	5.6641841119939684e-01	5.6641851235245244e-01	5.6641847417267510e-01
20000                   	bottom	5.6637526342860600e-01	5.6637526350109502e-01	5.6637526346836575e-01
20000                   	top	5.6637545642353759e-01	5.6637545650452670e-01	5.6637545646204135e-01
30000                   	bottom	5.6637552513814193e-01	5.6637552513842571e-01	5.6637552513825806e-01
30000                   	top	5.6637552496991261e-01	5.6637552497027577e-01	5.6637552497006527e-01
40000                   	bottom	5.6637552474509445e-01	5.6637552474510100e-01	5.6637552474509778e-01
40000                   	top	5.6637552472170372e-01	5.6637552472182007e-01	5.6637552472175190e-01
50000                   	bottom	5.6637552473383679e-01	5.6637552473384467e-01	5.6637552473384056e-01
50000                   	top	5.6637552473384967e-01	5.6637552473396313e-01	5.6637552473389585e-01
60000                   	bottom	5.6637552473385511e-01	5.6637552473386299e-01	5.6637552473385944e-01
60000                   	top	5.6637552473382724e-01	5.6637552473394359e-01	5.6637552473387609e-01
70000                   	bottom	5.6637552473385200e-01	5.6637552473386499e-01	5.6637552473385944e-01
70000                   	top	5.6637552473382702e-01	5.6637552473394448e-01	5.6637552473387331e-01
80000                   	bottom	5.6637552473385522e-01	5.6637552473386210e-01	5.6637552473385822e-01
80000                   	top	5.6637552473382924e-01	5.6637552473394304e-01	5.6637552473387376e-01
90000                   	bottom	5.6637552473385555e-01	5.6637552473386488e-01	5.6637552473386088e-01
90000                   	top	5.6637552473382102e-01	5.6637552473393959e-01	5.6637552473387398e-01
100000                  	bottom	5.6637552473385822e-01	5.6637552473386255e-01	5.6637552473386044e-01
100000                  	top	5.6637552473382557e-01	5.6637552473394226e-01	5.6637552473387642e-01
