# Wall shear stress     
# Time                  	patch                   	min                     	max                     
10000                   	bottom	(-1.2584506731525535e+00 -2.6057671308791414e-05 9.9713617549630505e-17)	(-1.2584402840492799e+00 -2.5820292500967901e-05 1.0028635008429460e-16)
20000                   	bottom	(-1.2293822243485215e+00 -1.8656219594318050e-05 9.9779900022591112e-17)	(-1.2293808026995525e+00 -1.8627458681380925e-05 1.0022010198508210e-16)
30000                   	bottom	(-1.2327061329166007e+00 -1.9552441900136677e-05 9.9770846596113745e-17)	(-1.2327059249131960e+00 -1.9547890364347979e-05 1.0022915272373708e-16)
40000                   	bottom	(-1.2321248423330620e+00 -1.9407601293168352e-05 9.9772238363369960e-17)	(-1.2321248036595065e+00 -1.9406987196056560e-05 1.0022776161480063e-16)
50000                   	bottom	(-1.2322145474918968e+00 -1.9428948688228369e-05 9.9772029337211452e-17)	(-1.2322145396803492e+00 -1.9428842314020085e-05 1.0022797067095968e-16)
60000                   	bottom	(-1.2322009248976888e+00 -1.9425659660421178e-05 9.9772060613254838e-17)	(-1.2322009238089728e+00 -1.9425638403648967e-05 1.0022793938375448e-16)
70000                   	bottom	(-1.2322031227334245e+00 -1.9426142708520423e-05 9.9772055894690310e-17)	(-1.2322031225800643e+00 -1.9426140531964961e-05 1.0022794410567906e-16)
80000                   	bottom	(-1.2322027621188576e+00 -1.9426065591203493e-05 9.9772056617306066e-17)	(-1.2322027620913578e+00 -1.9426065161131072e-05 1.0022794338266750e-16)
90000                   	bottom	(-1.2322028140601293e+00 -1.9426076870719086e-05 9.9772056507597479e-17)	(-1.2322028140550285e+00 -1.9426076781060940e-05 1.0022794349241094e-16)
100000                  	bottom	(-1.2322028072037798e+00 -1.9426075154693026e-05 9.9772056523981171e-17)	(-1.2322028072032514e+00 -1.9426075143965032e-05 1.0022794347601987e-16)
